title,creators,collection,tags,description
Andromeda Strain,Michael Crichton,Philippines,"fiction, novel, science fiction, dystopian","In this bestselling classic, four scientists race to prevent a biochemical disaster after a space probe landing goes awry.A military space probe, sent to collect extraterrestrial organisms from the upper atmosphere, is knocked out of orbit and falls to Earth. Twelve miles from the crash site, an inexplicable and deadly phenomenon terrorizes the residents of a sleepy desert town in Arizona, leaving only two survivors: an elderly addict and a newborn infant. The United States government is forced to mobilize Project Wildfire, a top-secret emergency response protocol. Four of the nation’s most elite biophysicists are summoned to a clandestine underground laboratory located five stories beneath the desert and fitted with an automated atomic self-destruction mechanism for cases of irremediable contamination. Under conditions of total news blackout and the utmost urgency, the scientists race to understand and contain the crisis. But the Andromeda Strain proves different from anything they’ve ever seen—and what they don’t know could not only hurt them, but lead to unprecedented worldwide catastrophe."
Fahrenheit 451,Ray Bradbury,Philippines,"fiction, novel, science fiction, dystopian","Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 is a masterwork of twentieth-century literature set in a bleak, dystopian future. Guy Montag is a fireman. In his world, where television rules and literature is on the brink of extinction, firemen start fires rather than put them out. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But then he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television. When Mildred attempts suicide and Clarisse suddenly disappears, Montag begins to question everything he has ever known. He starts hiding books in his home, and when his pilfering is discovered, the fireman has to run for his life."
Summons,John Grisham,Philippines,"fiction, thriller","Once Judge Atlee was a powerful figure in Clanton, Mississippi--a pillar of the community who towered over local law and politics for forty years. Now the judge is a shadow of his former self, a sick, lonely old man who has withdrawn to his sprawling ancestral home. Knowing the end is near, Judge Atlee has issued a summons for his two sons to return to Clanton to discuss his estate. Ray Atlee is the eldest, a Virginia law professor, newly single and still enduring the aftershocks of a surprise divorce. Forrest is Ray s younger brother, who redefines the notion of a family s black sheep.The summons is typed by the judge himself, on his handsome old stationery, and gives the date and time for Ray and Forrest to appear in his study. Ray reluctantly heads south to his hometown, to the place where he grew up and now prefers to avoid. But the family meeting does not take place. The judge dies too soon, and in doing so leaves behind a shocking secret known only to Ray.And perhaps someone else."
Complete Me (The Stark Trilogy): A Novel,J. Kenner,Philippines,"fiction, romance","NEW YORK TIMES BESTSELLERFor fans of Fifty Shades of Grey and Bared to You comes the third novel in the erotic, fast-paced trilogy including Release Me and Claim Me. This sexy, emotionally charged romance continues the story of Damien Stark, the powerful multimillionaire who’s never had to take “no” for an answer, and Nikki Fairchild, the Southern belle who only says “yes” on her own terms.   Our desire runs deep. But our secrets cut close.   Beautiful, strong, and commanding, Damien Stark fills a void in me that no other man can touch. His fierce cravings push me beyond the brink of bliss—and unleash a wild passion that utterly consumes us both.   Yet beneath his need for dominance, he carries the wounds of a painful past. Haunted by a legacy of dark secrets and broken trust, he seeks release in our shared ecstasy, the heat between us burning stronger each day.   Our attraction is undeniable, our obsession inevitable. Yet not even Damien can run from his ghosts, or shield us from the dangers yet to come.Praise for Complete Me   “The conclusion of the Stark trilogy features the intense, all-consuming passion that readers have come to expect from Kenner’s sensual prose and a tense, brooding narrative. . . . The revelations come fast, heightening the emotions of the series’ conclusion, reaching a fever pitch.”—RT Book Reviews (four stars)   “The roller coaster events of Complete Me give this novel a page-turning quality. . . . Immensely satisfying.”—Heroes and Heartbreakers   “Complete Me is a perfect ending to the [Stark] trilogy. . . . You won’t be disappointed.”—Fresh Fiction   Complete Me is an erotic romance intended for mature audiences.
 "
Brain Rules,John Medina,Philippines,self-help,"Most of us have no idea what’s really going on inside our heads. Yet brain scientists have uncovered details that every business leader, parent, and teacher should know — for instance, that physical activity helps to get your brain working at its best."
"Psych Experiments: From Pavlov's dogs to Rorschach's inkblots, put psychology's most fascinating studies to the test",Michael A. Britt Ph.D,Philippines,"psychology, history","Psychology's most famous theories--played out in real life! Forget the labs and lecture halls. You can conduct your very own psych experiments at home! Famous psychological experiments--from Freud's ego to the Skinner box--have changed the way science views human behavior. But how do these tests really work? In Psych Experiments, you'll learn how to test out these theories and experiments for yourself...no psychology degree required! Guided by Michael A. Britt, creator of popular podcast The Psych Files, you can conduct your own experiments when browsing your favorite websites (to test the ""curiosity effect""), in restaurants (learning how to increase your tips), when presented with advertisements (you'd be surprised how much you're influenced by the color red), and even right on your smartphone (and why you panic when you can't find it). You'll even figure out how contagious yawning works! With this compulsively readable little book, you won't just read about the history of psychology--you'll live it!"
Genesis Code,John Case,Philippines,"fiction, thriller, mystery",How do we learn? What do sleep and stress do to our brains? Why is multitasking a myth? Why is it so easy to forget — and so important to repeat new information?
Drucker & Me,Bob Buford,Philippines,"autobiography, business","In 1982 a young, ambitious East Texas entrepreneur, whose business is growing at double-digit rates, decides there must be more the life. So, oddly enough, he writes a letter to the man whose books he most treasures—Peter R. Drucker, father of modern management theory and practice. As they met over the years, Buford sees that ""Drucker is to management what Shakespeare is to literature."" Their relationship progresses from paid consultant to mentor and close friend. Drucker & Me tells how two men discover a mutual passion and strategy that will literally change the world. Their disappointment with corporate America leads them to embrace the non-profit sector, including one of the most important developments in the last 30 years—the mega church movement. Believing non-profit organizations change lives, they begin work with Rick Warren, Bill Hybels and others to design a new management model for non-profits in the 20th century."
Lost Art of the Great Speech: How to Write One--How to Deliver It,Richard Dowis,Philippines,"self-help, business","In Brain Rules, Dr John Medina, a molecular biologist, shares his lifelong interest in brain science, and how it can influence the way we teach our children and the way we work. In each chapter, he describes a brain rule — what scientists know for sure about how our brains work — and offers transformative ideas for our daily lives."
Truth About Trump,Michael D'Antonio,Philippines,"biography, business","Who is the man shaking up the GOP?What does he really stand for?How far will he go in his pursuit of power?This isTHE TRUTH ABOUT TRUMPHe is one of the world’s most successful businessmen?and a man who many Americans love to hate. So how did Donald Trump become a serious contender in the race for the country’s highest office? His critics think his run for president is a marketing campaign for the Trump brand. His supporters believe that he can make America great again. The only thing both sides can agree on is that Trump is a man whose appetite for wealth, attention, power, and conquest is insatiable. In this up-close-and-personal biography, author Michael D’Antonio draws upon extensive and exclusive interviews with Trump himself to present the full story behind this American icon?from his early life to the headlines of today. “Carefully reported and fair-minded.”?USA Today “A brisk and entertaining read.” ?The Washington PostPreviously published in hardcover as Never Enough."
Solving the People Puzzle,Peter Rowe,Philippines,"self-help, business, leadership","In this expanded edition — which includes additional information on the brain rules and a new chapter on music — you will discover how every brain is wired differently, why memories are volatile, and how stress and sleep can influence learning. By the end, you’ll understand how your brain really works — and how to get the most out of it."
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Philippines,biography,"This is The Sunday Times Bestseller. Planet Earth is 4.5 billion years old. In just a fraction of that time, one species among countless others has conquered it. Us. We are the most advanced and most destructive animals ever to have lived. What makes us brilliant? What makes us deadly? What makes us Sapiens? In this bold and provocative book, Yuval Noah Harari explores who we are, how we got here and where we're going. Sapiens is a thrilling account of humankind's extraordinary history - from the Stone Age to the Silicon Age - and our journey from insignificant apes to rulers of the world. ""It tackles the biggest questions of history and of the modern world, and it is written in unforgettably vivid language. You will love it!"" (Jared Diamond, author of Guns, Germs and Steel)."
Lunch with the FT,Barber Lionel,Philippines,biography,From film stars to politicians tycoons to writers dissidents to lifestyle gurus Lunch with the FT is a selection of classic interviews conducted in the unforgiving proximity of a restaurant table The list of people who have had Lunch with the FT since 1994 reads like an international Whos Who of our times Meet the rich and famous the weird and the brilliant the brave and the virtuous brought to you by the Financial Times global network of columnists and correspondents The operative word is lunch this book brings you right to the table to decide what you think of Angela Merkel or Martin Amis George Soros or Sean P Diddy Combs Angelina Jolie or Jimmy Carter Meet not just oligarchs and royals but the tycoon who will pay African presidents to quit and one of the Arab worlds most notorious sons
CTO ] CIO Bible: The Mission Objectives Strategies And Tactics Needed To Be A Super Successful CTO ] CIO,Rorie Devine,Philippines,self-help,"CTO ] CIO Bible: The Mission Objectives Strategies And Tactics Needed To Be A Super Successful CTO ] CIO is a guidebook for Chief Technology Officers (CTOs) and Chief Information Officers (CIOs) that provides insights into leadership, strategy, and technology management. It covers essential skills, including innovation, digital transformation, team management, cybersecurity, and aligning IT with business goals. The book helps tech leaders navigate challenges and drive success in their organizations."
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,Philippines,biography,"For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a U.S. Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America. In Can't Hurt Me, he shares his astonishing life story and reveals that most of us tap into only 40% of our capabilities. Goggins calls this The 40% Rule, and his story illuminates a path that anyone can follow to push past pain, demolish fear, and reach their full potential."
Practice of System and Network Administration: Volume 1: DevOps and other Best Practices for Enterprise IT (3rd Edition),"Thomas A. Limoncelli, Christina J. Hogan, Strata R. Chalup",Philippines,"technology, business","With 28 new chapters, the third edition of The Practice of System and Network Administration innovates yet again! Revised with thousands of updates and clarifications based on reader feedback, this new edition also incorporates DevOps strategies even for non-DevOps environments.   Whether you use Linux, Unix, or Windows, this new edition describes the essential practices previously handed down only from mentor to protégé. This wonderfully lucid, often funny cornucopia of information introduces beginners to advanced frameworks valuable for their entire career, yet is structured to help even experts through difficult projects.   Other books tell you what commands to type. This book teaches you the cross-platform strategies that are timeless! DevOps techniques: Apply DevOps principles to enterprise IT infrastructure, even in environments without developers Game-changing strategies: New ways to deliver results faster with less stress Fleet management: A comprehensive guide to managing your fleet of desktops, laptops, servers and mobile devices Service management: How to design, launch, upgrade and migrate services Measurable improvement: Assess your operational effectiveness; a forty-page, pain-free assessment system you can start using today to raise the quality of all services Design guides: Best practices for networks, data centers, email, storage, monitoring, backups and more Management skills: Organization design, communication, negotiation, ethics, hiring and firing, and more Have you ever had any of these problems? Have you been surprised to discover your backup tapes are blank? Ever spent a year launching a new service only to be told the users hate it? Do you have more incoming support requests than you can handle? Do you spend more time fixing problems than building the next awesome thing? Have you suffered from a botched migration of thousands of users to a new service? Does your company rely on a computer that, if it died, can’t be rebuilt? Is your network a fragile mess that breaks any time you try to improve it? Is there a periodic “hell month” that happens twice a year? Twelve times a year? Do you find out about problems when your users call you to complain? Does your corporate “Change Review Board” terrify you? Does each division of your company have their own broken way of doing things? Do you fear that automation will replace you, or break more than it fixes? Are you underpaid and overworked? No vague “management speak” or empty platitudes. This comprehensive guide provides real solutions that prevent these problems and more!"
Trading Code,Jason Cam,Philippines,finance,Technical Guide To Trading And Investing In The Philippine Stock Market
"Wolfsbane (Nightshade, Book 2)",Andrea Cremer,Philippines,fiction,"This thrilling sequel to the much-talked-about Nightshade begins just where it ended-Calla Tor wakes up in the lair of the Searchers, her sworn enemy, and she's certain her days are numbered. But then the Searchers make her an offer-one that gives her the chance to destroy her former masters and save the pack-and the man-she left behind. Is Ren worth the price of her freedom? And will Shay stand by her side no matter what? Now in control of her own destiny, Calla must decide which battles are worth fighting and how many trials true love can endure and still survive."
7 Habits of Highly Effective People,"Stephen R. Covey, Jim Collins (Foreword by), Sean Covey (Contribution by)",Philippines,self-help,"*New York Times bestseller--over 40 million copies sold* *The #1 Most Influential Business Book of the Twentieth Century* One of the most inspiring and impactful books ever written, The 7 Habits of Highly Effective People has captivated readers for nearly three decades. It has transformed the lives of presidents and CEOs, educators and parents--millions of people of all ages and occupations. Now, this 30th anniversary edition of the timeless classic commemorates the wisdom of the 7 Habits with modern additions from Sean Covey. The 7 Habits have become famous and are integrated into everyday thinking by millions and millions of people. Why? Because they work! With Sean Covey's added takeaways on how the habits can be used in our modern age, the wisdom of the 7 Habits will be refreshed for a new generation of leaders. They include: Habit 1: Be Proactive Habit 2: Begin with the End in Mind Habit 3: Put First Things First Habit 4: Think Win/Win Habit 5: Seek First to Understand, Then to Be Understood Habit 6: Synergize Habit 7: Sharpen the Saw This beloved classic presents a principle-centered approach for solving both personal and professional problems. With penetrating insights and practical anecdotes, Stephen R. Covey reveals a step-by-step pathway for living with fairness, integrity, honesty, and human dignity--principles that give us the security to adapt to change and the wisdom and power to take advantage of the opportunities that change creates."
Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,Philippines,self-help,"New York Times BestsellerIn this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be ""positive"" all the time so that we can truly become better, happier people.For decades, we’ve been told that positive thinking is the key to a happy, rich life. ""F**k positivity,"" Mark Manson says. ""Let’s be honest, shit is f**ked and we have to live with it."" In his wildly popular Internet blog, Manson doesn’t sugarcoat or equivocate. He tells it like it is—a dose of raw, refreshing, honest truth that is sorely lacking today. The Subtle Art of Not Giving a F**k is his antidote to the coddling, let’s-all-feel-good mindset that has infected American society and spoiled a generation, rewarding them with gold medals just for showing up. Manson makes the argument, backed both by academic research and well-timed poop jokes, that improving our lives hinges not on our ability to turn lemons into lemonade, but on learning to stomach lemons better. Human beings are flawed and limited—""not everybody can be extraordinary, there are winners and losers in society, and some of it is not fair or your fault."" Manson advises us to get to know our limitations and accept them. Once we embrace our fears, faults, and uncertainties, once we stop running and avoiding and start confronting painful truths, we can begin to find the courage, perseverance, honesty, responsibility, curiosity, and forgiveness we seek. There are only so many things we can give a f**k about so we need to figure out which ones really matter, Manson makes clear. While money is nice, caring about what you do with your life is better, because true wealth is about experience. A much-needed grab-you-by-the-shoulders-and-look-you-in-the-eye moment of real-talk, filled with entertaining stories and profane, ruthless humor, The Subtle Art of Not Giving a F**k is a refreshing slap for a generation to help them lead contented, grounded lives."
EVERYTHING IS FUCKED: A BOOK ABOUT HOPE,,Philippines,self-help,"Everything Is Fcked: A Book About Hope* by Mark Manson explores the complexities of modern life, human psychology, and the paradox of hope. It challenges traditional notions of happiness and self-improvement, arguing that true hope comes from accepting life’s uncertainties and limitations. Manson combines philosophy, psychology, and humor to offer a thought-provoking perspective on how to find meaning in a chaotic world."
8th Habit: From Effectiveness to Greatness,Stephen R. Covey,Philippines,self-help,"The world has changed dramatically since the classic, internationally bestselling The 7 Habits of Highly Effective People was published, influencing tens of millions. The challenges and complexity we all face in our relationships, families, professional lives and communities are of an entirely new order of magnitude. In order to thrive, innovate, excel and lead in what Covey calls the new Knowledge Worker Age, we must build on and move beyond effectiveness...to greatness. Accessing the higher levels of human genius and motivation in today's new reality requires a sea change of new thinking -- a new mind-set, a new skill-set, a new tool-set -- in short, a whole new habit."
Think Like a Monk,Jay Shetty,Philippines,self-help,"""Jay Shetty, social media superstar and host of the #1 podcast On Purpose, distills the timeless wisdom he learned as a monk into practical steps anyone can take every day to live a less anxious, more meaningful life""--"
Work in Progress,Connor Franta,Philippines,biography,"In this intimate memoir of life beyond the camera, Connor Franta shares the lessons he has learned on his journey from small-town boy to Internet sensation—so far. Here, Connor offers a look at his Midwestern upbringing as one of four children in the home and one of five in the classroom; his struggles with identity, body image, and sexuality in his teen years; and his decision to finally pursue his creative and artistic passions in his early twenties, setting up his thrilling career as a YouTube personality, philanthropist, entrepreneur, and tastemaker.Exploring his past with insight and humor, his present with humility, and his future with hope, Connor reveals his private struggles while providing heartfelt words of wisdom for young adults. His words will resonate with anyone coming of age in the digital era, but at the core is a timeless message for people of all ages: don’t be afraid to be yourself and to go after what you truly want. This full-color collection includes photography and childhood clippings provided by Connor and is a must-have for anyone inspired by his journey."
McDonaldization of Society: Into the Digital Age,George Ritzer,Philippines,"sociology, guidebook","The book that made ""McDonaldization"" part of the lexicon of contemporary sociological theory, read by hundreds of thousands of students, is now in its Ninth Edition! George Ritzer?s seminal work of critical sociology, The McDonaldization of Society, continues to stand as one of the pillars of modern day sociological thought. Building on the argument that that the fast food restaurant has become the model for the rationalization process today, this book links theory to contemporary life in a globalized world and resonates with students in a way that few other books do. Ritzer opens students’ eyes to many current issues and shows how McDonaldization’s principles apply to other settings, especially in the areas of consumption and globalization. Through vivid story-telling prose, Ritzer provides an insightful introduction to this fascinating topic and aids students? critical development. This new edition has been fully updated to include a new focus on McDonaldization in the digital world.  "
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Philippines,"self-help, business","April 2017 marks 20 years since Robert Kiyosaki’s Rich Dad Poor Dad first made waves in the Personal Finance arena.It has since become the #1 Personal Finance book of all time... translated into dozens of languages and sold around the world. Rich Dad Poor Dad is Robert's story of growing up with two dads his real father and the father of his best friend, his rich dad and the ways in which both men shaped his thoughts about money and investing. The book explodes the myth that you need to earn a high income to be rich and explains the difference between working for money and having your money work for you. 20 Years... 20/20 Hindsight In the 20th Anniversary Edition of this classic, Robert offers an update on what we’ve seen over the past 20 years related to money, investing, and the global economy. Sidebars throughout the book will take readers fast forward” from 1997 to today as Robert assesses how the principles taught by his rich dad have stood the test of time. In many ways, the messages of Rich Dad Poor Dad, messages that were criticized and challenged two decades ago, are more meaningful, relevant and important today than they were 20 years ago. As always, readers can expect that Robert will be candid, insightful... and continue to rock more than a few boats in his retrospective. Will there be a few surprises? Count on it. Rich Dad Poor Dad... Explodes the myth that you need to earn a high income to become rich Challenges the belief that your house is an asset Shows parents why they can't rely on the school system to teach their kids about money Defines once and for all an asset and a liability Teaches you what to teach your kids about money for their future financial success"
Elements of Style Illustrated,"William Strunk Jr., E.B. White",Philippines,"self-help, writing","The only style manual to ever appear on a bestseller list now refreshed by one of our most beloved illustrators Every English writer knows Strunk and White's The Elements of Style. The book’s mantra, make every word tell, is still on point. This much-loved classic, now in its fourth edition, will forever be the go-to guide when in need of a hint to make a turn of phrase clearer or a reminder on how to enliven prose with the active voice. The only style manual to ever appear on bestseller lists has explained to millions of readers the basic principals of plain English, and Maira Kalman’s fifty-seven exquisite illustrations give the revered work a jolt of new energy, making the learning experience more colorful and clear."
21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You,John C. Maxwell,Philippines,"self-help, business","What would happen if a top expert with more than thirty years of leadership experience were willing to distill everything he had learned about leadership into a handful of life-changing principles just for you? It would change your life. John C. Maxwell has done exactly that in The 21 Irrefutable Laws of Leadership. He has combined insights learned from his thirty-plus years of leadership successes and mistakes with observations from the worlds of business, politics, sports, religion, and military conflict. The result is a revealing study of leadership delivered as only a communicator like Maxwell can."
"Combing the Coral Carpet: Sailing Tales and the Cruising Guide to the Philippine Islands, Vol. 1",Bruce Curran,Philippines,travel,"Sailing tales and the Cruising Guide to the Philippine Islands, 1st edition. The coffee-table sized book of 376 pages, with over one hundred spectacular photos of the Philippines. Includes maritime history, seafaring tales, anchorages, facts & facilities available along the water ways of these fantastic tropical islands with their wealth of friendly people."
Raving Fans,"Ken Blanchard, Sheldon Bowles",Philippines,"self-help, business",Slight wear on cover.
Digital Persuasion: Sell Smarter in the Modern Marketplace,Erin Gargan,Philippines,"business, finance","Today's buyer fields an average of three hundred digital messages every single day. In just seconds, recipients decide whether to answer or ignore your outreach online. With digital communication now a requisite to earning those critical in-person interactions, how can you attract attention, increase influence, and sell smarter in the modern marketplace? Welcome to the art of Digital Persuasion. Erin Gargan's sales messaging formula has been leveraged by some of the world's biggest brands to open more opportunities, ignite profitable relationships, and inspire action from behind the screen. Learn how to - Persuade prospects to engage with you in just 2.5 seconds - Understand the psychology behind ""must-answer"" digital messaging - Craft the perfect personal, useful, and brief sales message every time - Translate your offline personality to be more effective in the online space - Differentiate yourself with language that triggers an emotional response - Leverage social and digital platforms for maximum impact Standing out from behind the screen isn't easy, but with a more strategically persuasive approach you can inspire action every time you touch your keyboard. Demolish your assumptions about social media, and start selling smarter in the modern marketplace. Are you ready to master the art of Digital Persuasion?"
Laws of Human Nature,Robert Greene (author),Philippines,"self-help, business","The Laws of Human Nature by Robert Greene is a psychological and philosophical guide to understanding human behavior. It explores fundamental traits, motivations, and biases that drive people’s actions. Greene provides historical examples and practical strategies to help readers navigate relationships, influence others, and master their own emotions. The book offers insights into self-awareness, social intelligence, and personal growth."
It Ends with Us,Colleen Hoover,Philippines,"fiction, romance","SOMETIMES THE ONE WHO LOVES YOU IS THE ONE WHO HURTS YOU THE MOST. Lily hasn't always had it easy, but that's never stopped her from working hard for the life she wants. She's come a long way from the small town in Maine where she grew up - she graduated from college, moved to Boston, and started her own business. So when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily's life suddenly seems almost too good to be true. Ryle is assertive, stubborn, maybe even a little arrogant. He's also sensitive, brilliant, and has a total soft spot for Lily, but Ryle's complete aversion to relationships is disturbing. As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan - her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened. With this bold and deeply personal novel, Colleen Hoover delivers a heart-wrenching story that breaks exciting new ground for her as a writer. It Ends With Us is an unforgettable tale of love that comes at the ultimate price."
Alexander Hamilton (Great Lives),Ron Chernow,Philippines,"history, biography","A New York Times Bestseller, and the inspiration for the hit Broadway musical Hamilton!Pulitzer Prize-winning author Ron Chernow presents a landmark biography of Alexander Hamilton, the Founding Father who galvanized, inspired, scandalized, and shaped the newborn nation.In the first full-length biography of Alexander Hamilton in decades, Ron Chernow tells the riveting story of a man who overcame all odds to shape, inspire, and scandalize the newborn America. According to historian Joseph Ellis, Alexander Hamilton is “a robust full-length portrait, in my view the best ever written, of the most brilliant, charismatic and dangerous founder of them all.”Few figures in American history have been more hotly debated or more grossly misunderstood than Alexander Hamilton. Chernow’s biography gives Hamilton his due and sets the record straight, deftly illustrating that the political and economic greatness of today’s America is the result of Hamilton’s countless sacrifices to champion ideas that were often wildly disputed during his time. “To repudiate his legacy,” Chernow writes, “is, in many ways, to repudiate the modern world.” Chernow here recounts Hamilton’s turbulent life: an illegitimate, largely self-taught orphan from the Caribbean, he came out of nowhere to take America by storm, rising to become George Washington’s aide-de-camp in the Continental Army, coauthoring The Federalist Papers, founding the Bank of New York, leading the Federalist Party, and becoming the first Treasury Secretary of the United States.Historians have long told the story of America’s birth as the triumph of Jefferson’s democratic ideals over the aristocratic intentions of Hamilton. Chernow presents an entirely different man, whose legendary ambitions were motivated not merely by self-interest but by passionate patriotism and a stubborn will to build the foundations of American prosperity and power. His is a Hamilton far more human than we’ve encountered before—from his shame about his birth to his fiery aspirations, from his intimate relationships with childhood friends to his titanic feuds with Jefferson, Madison, Adams, Monroe, and Burr, and from his highly public affair with Maria Reynolds to his loving marriage to his loyal wife Eliza. And never before has there been a more vivid account of Hamilton’s famous and mysterious death in a duel with Aaron Burr in July of 1804.Chernow’s biography is not just a portrait of Hamilton, but the story of America’s birth seen through its most central figure. At a critical time to look back to our roots, Alexander Hamilton will remind readers of the purpose of our institutions and our heritage as Americans.“Nobody has captured Hamilton better than Chernow” —The New York Times Book Review Ron Chernow's new biography, Grant, will be published by Penguin Press in October 2017."
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,Philippines,"non-fiction, psychology, philosophy, self help, religion","The #1 Sunday Times and International Bestseller from 'the most influential public intellectual in the Western world right now' (New York Times) What are the most valuable things that everyone should know? Acclaimed clinical psychologist Jordan Peterson has influenced the modern understanding of personality, and now he has become one of the world's most popular public thinkers, with his lectures on topics from the Bible to romantic relationships to mythology drawing tens of millions of viewers. In an era of unprecedented change and polarizing politics, his frank and refreshing message about the value of individual responsibility and ancient wisdom has resonated around the world. In this book, he provides twelve profound and practical principles for how to live a meaningful life, from setting your house in order before criticising others to comparing yourself to who you were yesterday, not someone else today. Happiness is a pointless goal, he shows us. Instead we must search for meaning, not for its own sake, but as a defence against the suffering that is intrinsic to our existence. Drawing on vivid examples from the author's clinical practice and personal life, cutting edge psychology and philosophy, and lessons from humanity's oldest myths and stories, 12 Rules for Life offers a deeply rewarding antidote to the chaos in our lives: eternal truths applied to our modern problems."
Then She Was Gone,LISA JEWELL,Philippines,"fiction, thriller, mystery, crime, suspense","Ten years after her teenage daughter disappears, a woman crosses paths with a charming single father whose young child feels eerily familiar, in this evocative, suspenseful drama from New York Times bestselling author Lisa Jewell—perfect for fans of Paula Hawkins and Liane Moriarty.Ellie Mack was the perfect daughter. She was fifteen, the youngest of three. She was beloved by her parents, friends, and teachers. She and her boyfriend made a teenaged golden couple. She was days away from an idyllic post-exams summer vacation, with her whole life ahead of her. And then she was gone. Now, her mother Laurel Mack is trying to put her life back together. It’s been ten years since her daughter disappeared, seven years since her marriage ended, and only months since the last clue in Ellie’s case was unearthed. So when she meets an unexpectedly charming man in a café, no one is more surprised than Laurel at how quickly their flirtation develops into something deeper. Before she knows it, she’s meeting Floyd’s daughters—and his youngest, Poppy, takes Laurel’s breath away. Because looking at Poppy is like looking at Ellie. And now, the unanswered questions she’s tried so hard to put to rest begin to haunt Laurel anew. Where did Ellie go? Did she really run away from home, as the police have long suspected, or was there a more sinister reason for her disappearance? Who is Floyd, really? And why does his daughter remind Laurel so viscerally of her own missing girl?"
Subtle Knife,Philip Pullman,Philippines,fiction,"The second volume in Philip Pullman's incredible HIS DARK MATERIALS trilogy. First published in 1997, and acclaimed as a modern masterpiece, it won the UK's top awards for children's literature. ""What is he? A friend, or an enemy?"" ""He is a murderer."" Will has just killed a man. He's on the run. His escape will take him far beyond his own world, to the eerie disquiet of a deserted city, and to a girl, Lyra. Her fate is strangely linked to his own, and together they must find the most powerful weapon in all the worlds..."
Bloodrose,Andrea Cremer,Philippines,paranormal fiction,"Bloodrose by Andrea Cremer is the third and final book in the Nightshade trilogy, a young adult fantasy series. It follows Calla Tor, a warrior and alpha wolf, as she faces difficult choices in the final battle between her pack, the Searchers, and their enemies, the Keepers. Torn between love and duty, Calla must decide her fate while uncovering long-buried secrets. The novel is filled with action, romance, and suspense, bringing the series to a dramatic conclusion."
New One Minute Manager,"Ken Blanchard, Spencer, M.D. Johnson",Philippines,self-help,"A new edition based on the timeless business classic—updated to help today’s readers succeed more quickly in a rapidly changing world.For decades, The One Minute Manager® has helped millions achieve more successful professional and personal lives. While the principles it lays out are timeless, our world has changed drastically since the book’s publication. The exponential rise of technology, global flattening of markets, instant communication, and pressures on corporate workforces to do more with less—including resources, funding, and staff—have all revolutionized the world in which we live and work.Now, Ken Blanchard and Spencer Johnson have written The New One Minute Manger to introduce the book’s powerful, important lessons to a new generation. In their concise, easy-to-read story, they teach readers three very practical secrets about leading others—and explain why these techniques continue to work so well.As compelling today as the original was thirty years ago, this classic parable of a young man looking for an effective manager is more relevant and useful than ever."
Master Your Emotions,Thibaut Meurisse,Philippines,self-help,"Master Your Emotions by Thibaut Meurisse is a self-help book that provides practical strategies for understanding and managing emotions. It explores the impact of thoughts, habits, and mindset on emotional well-being, offering techniques for overcoming negativity, stress, and self-doubt. The book emphasizes self-awareness, mindfulness, and personal growth to help readers take control of their emotions and lead a more balanced, fulfilling life."
Daily Laws,Robert Greene,Philippines,self-help,Daily doses of wisdom from the master of self-development.
Atomic Habits,James Clear,Philippines,self-help,"BRAND NEW, Exactly same ISBN as listed, Please double check ISBN carefully before ordering."
