Title,creator,Tags,Number_of_Copies,Description
Confess,Colleen Hoover,"romance, adult fiction",1,"From bestselling author Colleen Hoover, comes a new novel about risking everything for love - and finding your heart somewhere between the truth and lies. Auburn Reed has her entire life mapped out. Her goals are in sight and there's no room for mistakes. But when she walks into a Dallas art studio in search of a job, she doesn't expect to find a deep attraction to the enigmatic artist who works..."
Conjugal Dictatorship of Ferdinand and Imelda Marcos,Primitivo Mijares,"history, biography",1,"Primitivo “Tibo” Mijares was Ferdinand Marcos’s prized “media czar” and chief propagandist until his defection in 1975.  In 1972, Tibo moved to the Marcos-controlled Daily Express and assumed the presidency of the National Press  Club of the Philippines and chairperson of the Media Advisory Council, effectively becoming―in his own words―“the sole conduit between the military..."
"Conscious Golf: The Three Secrets of Success in Business, Life and Golf",Gay Hendricks,sport,1,"What does your golf swing have to do with your success in business and life? Everything-- if you know the three powerful secrets of Conscious Golf. While working with more than 1,000 executives over the past 30 years, best-selling author and noted executive coach Gay Hendricks discovered that the secrets of success in golf, business and life are one and the same. Conscious Golf reveals those..."
Cookies,Williams- Sonoma,food &amp; drinks,1,"This comprehensive collection of over 3 dozen cookie recipes provides all the much-loved classics, along with tips and variations on how to make them unique. The beautifully photographed volume will feature recipes for holiday and gift giving, but will also include drop cookies, bars & sandwich cookies. The recipes are simple enough to be understood by beginning bakers, and share a timeless..."
Cook's Companion: The Complete Book of Ingredients and Recipes for the Australian Kitchen,Stephanie Alexander,food &amp; drinks,2,"The Cook's Companion has established itself as the kitchen 'bible' in over 300,000 homes since it was first published in 1996. Stephanie Alexander has added over 300 new recipes as well as 12 new chapters to this thoroughly revised and updated edition. Stephanie believes that good food is essential to living well: her book is for everyone, every day. She has invaluable information..."
Couple Next Door,Shari Lapena,fiction,1,"A NEW YORK TIMES BESTSELLER Another thrilling domestic suspense novel from the New York Times bestselling author of Not a Happy Family “The twists come as fast [as] you can turn the pages.” —People “I read this novel at one sitting, absolutely riveted by the storyline. The suspense was beautifully rendered and unrelenting!” —Sue Grafton It all started at a dinner party. . . A domestic..."
Courage to Be Disliked: The Japanese Phenomenon That Shows You How to Change Your Life and Achieve Real Happiness,"Ichiro Kishimi, Fumitake Koga","self-help, psychology",1,"The Courage to Be Disliked, already an enormous bestseller in Asia with more than 3.5 million copies sold, demonstrates how to unlock the power within yourself to be the person you truly want to be. Using the theories of Alfred Adler, one of the three giants of twentieth century psychology, The Courage to Be Disliked follows an illuminating conversation between a philosopher and a young man. The..."
Creator in You,"Jordan Raynor, Jonathan David (Illustrator)","religion, kids",1,"With engaging rhyme and stunning illustrations, this picture book sparks readers' imaginations with the big idea that God created human beings to make, model, and work like Him. The Creator in You is a book that children, graduates, and even many adults will treasure for a lifetime. This fresh perspective on the creation account from the Bible's first book, Genesis, helps readers see that ""the..."
"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition","Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler","business, communication",2,"The New York Times and Washington Post bestseller that changed the way millions communicate “[Crucial Conversations] draws our attention to those defining moments that literally shape our lives, our relationships, and our world. . . . This book deserves to take its place as one of the key thought leadership contributions of our time.”—from the Foreword by Stephen R. Covey, author..."
Crucible,Arthur Miller,"fiction, plays",1,"Based on historical people and real events, Arthur Miller's play uses the destructive power of socially sanctioned violence unleashed by the rumors of witchcraft as a powerful parable about McCarthyism."
CTO ] CIO Bible: The Mission Objectives Strategies And Tactics Needed To Be A Super Successful CTO ] CIO,Rorie Devine,self-help,2,
Curious Bartender: The Artistry and Alchemy of Creating the Perfect Cocktail,Tristan Stephenson,food &amp; drinks,1,"Preparing a first-class cocktail relies upon a deep understanding of its ingredients, the delicate alchemy of how they work together. In The Curious Bartender, Tristan Stephenson explores and experiments with the art of mixing the perfect cocktail, explaining the fascinating modern turns mixology has taken. Showcasing a selection of classic cocktails, he explains their intriguing origins,..."
Daily Laws,Robert Greene,self-help,6,Daily doses of wisdom from the master of self-development.
Daily Stoic,"Ryan Holiday, Stephen Hanselman","self-help, philisophy, personal growth",1,"From the team that brought you The Obstacle Is the Way and Ego Is the Enemy, a beautiful daily devotional of Stoic meditations—an instant Wall Street Journal and USA Today Bestseller.Why have history's greatest minds—from George Washington to Frederick the Great to Ralph Waldo Emerson, along with today's top performers from Super Bowl-winning football coaches to CEOs and celebrities—..."
Dare to Lead,Brené Brown,"self-help, business",3,"Brené Brown has taught us what it means to dare greatly, rise strong, and brave the wilderness. Now, based on new research conducted with leaders, change makers, and culture shifters, she's showing us how to put those ideas into practice so we can step up and lead. Leadership is not about titles, status, and wielding power. A leader is anyone who takes responsibility for recognizing the potential..."
"Day Trading 101: From Understanding Risk Management and Creating Trade Plans to Recognizing Market Patterns and Using Automated Software, an Essential Primer in Modern Day Trading (Adams 101)",David Borman,"finance, stock market",1,"A comprehensive guide to day trading, with prescriptive information and actionable advice to help you achieve financial success.It may seem that day trading is only for savvy investors who know the ins and outs of the marketplace—but it doesn’t have to be. All it takes is the right information and staying on top of the market. Day Trading 101 simplifies all the terms, strategies, and processes..."
Decision Book,"Mikael Krogerus, Roman Tschappeler","leadership, self-help, psychology, nonfiction, business",2,"Most of us face the same questions every day: What do I want? How can I get it? How can I live more happily and work more efficiently?This updated edition of the international bestseller distils into a single volume the fifty best decision-making models used on MBA courses, and elsewhere, that will help you tackle these important questions - from the well known (the Eisenhower matrix for time..."
Delivering Happiness,Tony Hsieh,"inspiration, personal growth",1,"The central theme of the book is literally delivering happiness as a business by living a life of passion and purpose.

Delivering Happiness details the story of Tony Hsieh and his company Zappos, an example of how thinking long term and following your passions first can lead to not just profits, but a happy life for you, your employees, and customers.

The book provides an alternative approach to..."
Demian: The Story of Emil Sinclair's Youth (Penguin Classics),Hermann Hesse,"fiction, coming of age",1,A powerful new translation of Nobel Prize winner Hermann Hesse’s masterpiece of youthful rebellion—with a foreword by James Franco A young man awakens to selfhood and to a world of possibilities beyond the conventions of his upbringing in Nobel Prize winner Hermann Hesse’s beloved novel Demian. Emil Sinclair is a quiet boy drawn into a forbidden yet seductive realm of petty...
Destination Moon (The Adventures of Tintin),Hergé,"comics, fiction, graphic novel",1,"The classic graphic novel. Professor Calculus is building a rocket, but Tintin quickly realizes that there are spies around every corner trying to steal the professor's design! When Professor Calculus' rocket finally takes off for the moon, Tintin and his dog Snowy are on board."
Diary of a CEO,Steven Bartlett,"busienss, leadership",1,"A galvanizing playbook for success from Steven Bartlett, one of the world’s most exciting entrepreneurs and the host of the No. 1 podcast The Diary of a CEO ""This is a must-read for anyone dreaming of doing something audacious."" Jay Shetty ""Valuable lessons about the importance of following a different and unconventional path to power.” Robert Greene At the very heart of all the success and..."
"Diary of a Wimpy Kid, a Novel in Cartoons",Jeff Kinney,"comedy, fiction, young adult",1,The 1st book of the Diary of a Wimpy Kid series. Perfect condition paperback
Diary of a Wimpy Kid: Book 17,Jeff Kinney,"comedy, fiction",1,"In Diper Överlöde, book 17 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley is finding out that the road to fame and glory comes with some hard knocks. When he decides to tag along with his brother Rodrick's band, Löded Diper, Greg doesn't realize what he's getting into. But he soon learns that late nights, unpaid gigs, fighting between band..."
Diary of a Wimpy Kid: Book 18,Jeff Kinney,"comedy, fiction",1,"New from #1 international bestselling author Jeff Kinney--official cover reveal coming soon! In the newest installment of the Wimpy Kid series, Greg is up to his eyeballs in stress. Overdue homework assignments, flaky study partners, and at least one all-nighter put Greg to the test. You'll be laughing along as Greg hilariously muddles his way through middle school."
Difficult Conversations: How to Discuss What Matters Most,"Douglas Stone, Bruce Patton, Sheila Heen","communication, leadership &amp; management, personal growth",1,"We attempt or avoid difficult conversations every day-whether dealing with an underperforming employee, disagreeing with a spouse, or negotiating with a client. From the Harvard Negotiation Project, the organization that brought you Getting to Yes, Difficult Conversations provides a step-by-step approach to having those tough conversations with less stress and more success. you'll learn how..."
Digital Persuasion: Sell Smarter in the Modern Marketplace,Erin Gargan,"business, finance",3,"Today's buyer fields an average of three hundred digital messages every single day. In just seconds, recipients decide whether to answer or ignore your outreach online. With digital communication now a requisite to earning those critical in-person interactions, how can you attract attention, increase influence, and sell smarter in the modern marketplace? Welcome to the art of Digital Persuasion...."
Dinosaurium (Welcome To The Museum),Lily Murray,"kids, science",1,"Welcome to the museum that is always open to explore... Step inside the pages of this beautiful book to discover galleries of dinosaurs, expertly curated to bring you the experience of a fascinating exhibition from the comfort of your own home.Dinosaurium features a wide range of dinosaurs from the most-loved Triceratops and Tyrannosaurus Rex to lesser-known species such as Coelophysis and..."
Disney the Art of Moana 2,Kalikolehua Hurley,"fiction, art",1,"This stunning volume of the Disney Art of series is an exclusive look behind the scenes of Walt Disney Animation Studio's original feature film, Moana 2. Journey from Motunui across the vast Ocean with Moana and her crew in this installment of the beloved Art of Disney series that tells the story behind the art and making of Moana 2. Here is a stunning art book that highlights the beautiful..."
Dork Diaries 15: Tales from a Not-So-Posh Paris Adventure (15),Rachel Renée Russell," Travel, Paris, Friendship, Adventures",1,An Aladdin book. Simon & Schuster has a great book for every reader.
Double Minds: A Novel,Terri Blackstock,fiction,1,"The young girl with the Bohemian style was on the floor where she'd fallen, between Parker's computer case and her file cabinet.  She wore a long, flowing skirt---lavender, the color of calm---and camel-colored Uggs. She lay on her back, her long, wavy blonde hair matted with blood. For struggling singer/songwriter Parker James, the music business has just turned deadly.   Her desk in..."
Drucker & Me,Bob Buford,"autobiography, business",1,"In 1982 a young, ambitious East Texas entrepreneur, whose business is growing at double-digit rates, decides there must be more the life. So, oddly enough, he writes a letter to the man whose books he most treasures—Peter R. Drucker, father of modern management theory and practice. As they met over the years, Buford sees that ""Drucker is to management what Shakespeare is to literature."" Their..."
"Dwellers in the Crucible (Star Trek, No 25)",Margaret W. Bonanno,fiction,1,"Warrantors of Peace: the Federation's daring experiment to prevent war among its members. Each Warrantor, man or woman is hostage for the goverment of his native world-and is instantly killed if that world breaks the peace. now Romulans have kidnapped six Warrantors, to foment political chaos-and then civil war-within the Federation. Captai kirk must send Sulu to infiltrate Romulan territory..."
Effective Executive: The Definitive Guide to Getting the Right Things Done,Peter F. Drucker,"business, leadership &amp; management",1,"A handsome, commemorative edition of Peter F. Drucker’s timeless classic work on leadership and management, with a foreword by Jim Collins.What makes an effective executive?For decades, Peter F. Drucker was widely regarded as ""the dean of this country’s business and management philosophers"" (Wall Street Journal). In this concise and brilliant work, he looks to the most influential position in..."
Elements of Style Illustrated,"William Strunk Jr., E.B. White","self-help, writing",2,"The only style manual to ever appear on a bestseller list now refreshed by one of our most beloved illustrators Every English writer knows Strunk and White's The Elements of Style. The book’s mantra, make every word tell, is still on point. This much-loved classic, now in its fourth edition, will forever be the go-to guide when in need of a hint to make a turn of phrase clearer or a..."
Eleven Minutes,Paulo Coelho,"fiction, romance",1,Eleven Minutes [Paperback]
Elon Musk,Walter Isaacson,"biography, business",2,"From the author of Steve Jobs and other bestselling biographies, this is the astonishingly intimate story of the most fascinating and controversial innovator of our era--a rule-breaking visionary who helped to lead the world into the era of electric vehicles, private space exploration, and artificial intelligence. Oh, and took over Twitter. When Elon Musk was a kid in South Africa, he was..."
Emperor of Ocean Park,Stephen L. Carter,fiction,1,"In his triumphant fictional debut, Stephen Carter combines a large-scale, riveting novel of suspense with the saga of a unique family. The Emperor of Ocean Park is set in two  privileged worlds: the upper crust African American society of the Eastern seabord—families who summer at Martha’s Vineyard—and the inner circle of an Ivy League law school. Talcott Garland is a successful..."
EVERYTHING IS FUCKED: A BOOK ABOUT HOPE,,self-help,1,
"Exponential Organizations: Why new organizations are ten times better, faster, and cheaper than yours (and what to do about it)","Salim Ismail, Michael S Malone, Yuri van Geest","business, economics",4,"In business, performance is key. In performance, how you organize can be the key to growth. In the past five years, the business world has seen the birth of a new breed of company-the Exponential Organization-that has revolutionized how a company can accelerate its growth by using technology. An ExO can eliminate the incremental, linear way traditional companies get bigger, leveraging assets like..."
Fahrenheit 451: A Novel,Ray Bradbury,fiction,1,"Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 is a masterwork of twentieth-century literature set in a bleak, dystopian future. Guy Montag is a fireman. In his world, where television rules and literature is on the brink of extinction, firemen start fires rather than put them out. His job is to destroy the most illegal of commodities, the printed book, along with the houses in..."
Fall of the House of Usher: And Other Stories,Edgar Allan Poe,"fiction, poetry",1,"""The most original genius that America has produced."" —Alfred, Lord TennysonEdgar Allan Poe was a writer of uncommon talent; in The Murders in the Rue Morgue he created the genre of detective fiction while his genius for finding the strangeness lurking within us all has been an influence on everyone from Freud to Hollywood. This complete collection of all his short stories and novellas contains..."
Fangirl,Rainbow Rowell,"fiction, family, young adult",1,"In Rainbow Rowell'sFangirl, Cath is a Simon Snow fan. Okay, the whole world is a Simon Snow fan, but for Cath, being a fan is her life--and she's really good at it. She and her twin sister, Wren, ensconced themselves in the Simon Snow series when they were just kids; it's what got them through their mother leaving. Reading. Rereading. Hanging out in Simon Snow forums, writing Simon Snow fan..."
Finding Cinderella: A Novella,Colleen Hoover,"romance, fiction",1,"A chance encounter in the dark leads eighteen-year-old Daniel and the girl who stumbles across him to profess their love for each other. But this love has conditions: they agree it will last only one hour, and it will be only make-believe. When their hour is up and the girl rushes off like Cinderella, Daniel tries to convince himself that what happened between them seemed perfect only because they..."
Finding Me,Viola Davis,"autobiography, ethnic",1,"""Much-anticipated, emotionally-charged debut memoir from award-winning actor and icon Viola Davis""--"
First 20 Hours: How to Learn Anything . . . Fast!,Josh Kaufman,"self-help, psychology, education",2,"What if it’s possible to learn the basics of any new skill in 20 hours or less?  Research suggests it takes 10,000 hours to master a new skill, and the earliest hours are always the most frustrating. That’s why it’s so difficult to learn a new language, play an instrument, hit a golf ball, or shoot great photos.    Josh Kaufman offers a better..."
"First, Break All The Rules: What the World's Greatest Managers Do Differently",Gallup Press,"business, leadership &amp; management",1,"Gallup presents the remarkable findings of its revolutionary study of more than 80,000 managers in First, Break All the Rules, revealing what the world’s greatest managers do differently. With vital performance and career lessons and ideas for how to apply them, it is a must-read for managers at every level.Included with this re-release of First, Break All the Rules: updated meta-analytic..."
Fish!,"Harry Paul, John Christensen Stephen C. Lundin","self-help, business",1,"Fish: A Proven Way To Boost Morale And Improve Results by Lundin, Stephen C."
Five People You Meet in Heaven,Mitch Albom,fiction,1,"Eddie is a grizzled war veteran who feels trapped in a meaningless life of fixing rides at a seaside amusement park. As the park has changed over the years — from the Loop-the-Loop to the Pipeline Plunge — so, too, has Eddie changed, from optimistic youth to embittered old age. His days are a dull routine of work, loneliness, and regret.

Then, on his 83rd birthday, Eddie dies in a tragic..."
Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,"business, inspiration, self-help, psychology, nonfiction",2,"Psychologist Mihaly Csikszentmihalyi's famous investigations of ""optimal experience"" have revealed that what makes an experience genuinely satisfying is a state of consciousness called flow. During flow, people typically experience deep enjoyment, creativity, and a total involvement with life. In this new edition of his groundbreaking classic work, Csikszentmihalyi demonstrates the..."
Flowers in the Attic/Petals on the Wind (Dollanganger Series),V.C. Andrews,"fiction, horror",1,"A value-priced bindup of the first two books ever published by V. C. Andrews, Flowers in the Attic and Petals on the Wind."
Fly Who Flew to Space (with Removable Glow-In-The-Dark Poster),"Lauren Sánchez, Raleigh Stewart (Illustrator)",fiction,1,
Flying Scotsman and the Best Birthday Ever,"Michael Morpurgo, Michael Foreman (Illustrator), the National Railway Museum York (Contribution by)",kids,1,"An inspiring tale from Michael Morpurgo and Michael Foreman celebrating the world's most iconic train, Flying Scotsman, and its greatest fan, a young girl named Iris. Iris knows everything there is to know about Flying Scotsman. Her dad is the famous train's driver, and every year her favourite birthday treat is a trip to see him at work. But each time Flying Scotsman pulls away, Iris wishes more..."
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,"business, finance",1,"“[Taleb is] Wall Street’s principal dissident. . . . [Fooled By Randomness] is to conventional Wall Street wisdom approximately what Martin Luther’s ninety-nine theses were to the Catholic Church.”–Malcolm Gladwell, The New YorkerFinally in paperback, the word-of-mouth sensation that will change the way you think about the markets and the world.This book is about luck..."
Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,"self-help, spirituality",1,"Rooted in traditional Toltec wisdom beliefs, four agreements in life are essential steps on the path to personal freedom. As beliefs are transformed through maintaining these agreements, shamanic teacher and healer don Miguel Ruiz asserts lives will ""become filled with grace, peace, and unconditional love."""
"Frieren: Beyond Journey's End, Vol. 1",Kanehito Yamada,"manga, adventure",2,"The adventure is over but life goes on for an elf mage just beginning to learn what living is all about. Elf mage Frieren and her courageous fellow adventurers have defeated the Demon King and brought peace to the land. With the great struggle over, they all go their separate ways to live a quiet life. But as an elf, Frieren, nearly immortal, will long outlive the rest of her former party. How..."
Genesis Code,John Case,"fiction, thriller, mystery",1,"Joe Lassiter is an ex-FBI investigator bent on revenge. His sister and young nephew have been murdered and the killer hospitalised. Despite warnings from the police Lassiter will stop at nothing to discover why. His search leads him to uncover an attempt by the Vatican to destroy all traces of a discovery that has sent them into such an alarm, that they have charged a right-wing fundamentalist hit..."
George Herriman Library,George Herriman,comics & graphic novels,1,"For nearly 30 years, George Herriman’s hilarious, poetic masterpiece Krazy Kat graced the Sunday pages of America’s newspapers. Featuring the love triangle of “kat,” “mice,” and “pupp,” each of Herriman’s pages is a work of transcendent art, crackling with verbal wit and graphic brilliance earning the moniker from many as the best comics strip ever created. This new hardcover..."
Get Out of My Head,"Meredith Arthur, Leah Rosenberg (Artist)","self-help, mental health",1,"Calm your thoughts, navigate your stress, and understand your anxiety with this compact illustrated guide for overthinkers everywhere. Are you an overthinker? You're not alone! In a world full of deadlines, and technology, and constant stress, anxiety sometimes feels inevitable. But what if you learned to ride the wave of anxiety, instead of getting lost in it? Get Out of My Head is here to help,..."
Get Things Done Book,Mikael Krogerus,"self-help, business",1,
Good Girl's Guide to Murder,Holly Jackson,"mystery, thriller",1,
Good or God?,John Bevere,"self-help, religion",1,"These days the terms good and God seem synonymous. We believe what sgenerally accepted as good must be in line with God s will. Generosity, humility, justice good. Selfishness, arrogance, cruelty evil. Thedistinction seems pretty straightforward.But is that all there is to it? If good is so obvious, why does the Bible saythat we need discernment to recognize it?Good or God? isn t another self-help..."
Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,"business, entrepreneurship",4,"The Challenge:Built to Last, the defining management study of the nineties, showed how great companies triumph over time and how long-term sustained performance can be engineered into the DNA of an enterprise from the verybeginning. But what about the company that is not born with great DNA? How can good companies, mediocre companies, even bad companies achieve enduring greatness? The Study: For..."
Green Mile: The Complete Serial Novel,Stephen King,"horror, fiction",1,"Stephen King’s classic #1 New York Times bestselling dramatic serial novel and inspiration for the Oscar-nominated film starring Tom Hanks!Welcome to Cold Mountain Penitentiary, home to the Depression-worn men of E Block. Convicted killers all, each awaits his turn to walk “the Green Mile,” the lime-colored linoleum corridor leading to a final meeting with Old Sparky, Cold Mountain’s..."
Guinness World Records 2025,Guinness World Records,"Trivia, Fun Facts, Annual, Achievements, Records",2,
Happiest Man on Earth,Eddie Jaku,"memoir, autobiography",1,"A New York Times Bestseller In this uplifting memoir in the vein of The Last Lecture and Man's Search for Meaning, a Holocaust survivor pays tribute to those who were lost by telling his story, sharing his wisdom, and living his best possible life. Born in Leipzig, Germany, into a Jewish family, Eddie Jaku was a teenager when his world was turned upside-down. On November 9, 1938, during the..."
Happiness for Beginners,Katherine Center,"fiction, novel, romance",1,"A year after getting divorced, Helen Carpenter, thirty-two, lets her annoying, ten years younger brother talk her into signing up for a wilderness survival course. It's supposed to be a chance for her to pull herself together again, but when she discovers that her brother's even-more-annoying best friend is also coming on the trip, she can't imagine how it will be anything other than a disaster...."
Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,"business, leadership &amp; management, startups",1,"Ben Horowitz, cofounder of Andreessen Horowitz and one of Silicon Valley's most respected and experienced entrepreneurs, offers essential advice on building and running a startup—practical wisdom for managing the toughest problems business school doesn’t cover, based on his popular ben’s blog.While many people talk about how great it is to start a business, very few are..."
Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International),Haruki Murakami,"fiction, fantasy",1,"Japan's most widely-read and controversial writer, author of A Wild Sheep Chase, hurtles into the consciousness of the West with this narrative about a split-brained data processor, a deranged scientist, his shockingly undemure granddaughter, and various thugs, librarians, and subterranean monsters--not to mention Bob Dylan and Lauren Bacall."
Heart Bones,Colleen Hoover,"fiction, romance",1,"From the #1 New York Times bestselling author of It Ends with Us and It Starts with Us! Moving, passionate, and unforgettable, Colleen Hoover's novel follows two young adults from completely different backgrounds embarking on a tentative romance, unaware of what the future holds. After a childhood filled with poverty and neglect, Beyah Grim finally has her hard-earned ticket out of Kentucky with a..."
Heartbreaking Work of Staggering Genius,Dave Eggers,"self-help, psychology",1,"National Bestseller The literary sensation of the year, a book that redefines both family and narrative   for the twenty-first century. A Heartbreaking Work of Staggering Genius is the moving   memoir of a college senior who, in the space of five weeks, loses both of his parents   to cancer and inherits his eight-year-old brother.  Here is an exhilarating debut   that manages to be..."
Heartstopper #1,Alice Oseman,fiction,1,"Boy meets boy. Boys become friends. Boys fall in love. A sweet and charming coming-of-age story that explores friendship, love, and coming out. ""Absolutely delightful. Sweet, romantic, kind. Beautifully paced. I loved this book."" -- Rainbow Rowell, author of Carry On Shy and softhearted Charlie Spring sits next to rugby player Nick Nelson in class one morning. A warm and intimate friendship..."
Heartstopper #3,Alice Oseman,fiction,1,"The third volume in the poignant and sweet Heartstopper series, featuring beautiful two-color artwork Absolutely delightful. Sweet, romantic, kind. Beautifully paced. I loved this book. -- Rainbow Rowell, author of Carry On Charlie didn't think Nick could ever like him back, but now they're officially boyfriends. Nick has even found the courage to come out to his mom. But coming out isn't..."
Heartstopper #4,Alice Oseman,fiction,1,"Boy meets boy. Boys become friends. Boys fall in love. A sweet and charming coming-of-age story that explores friendship, love, and coming out. This edition features beautiful two-color artwork. Absolutely delightful. Sweet, romantic, kind. Beautifully paced. I loved this book. -- Rainbow Rowell, author of Carry On Shy and softhearted Charlie Spring sits next to rugby player Nick Nelson in class..."
Heartstopper: Volume 2,Alice Oseman,fiction,1,"Nick and Charlie are best friends, but one spontaneous kiss has changed everything. In the aftermath, Charlie thinks that he's made a horrible mistake and ruined his friendship with Nick, but Nick is more confused than ever.Love works in surprising ways, and Nick comes to see the world from a new perspective. He discovers all sorts of things about his friends, his family... and himself."
Hidden Potential: The Science of Achieving Greater Things,Adam Grant,"self-help, business, leadership",2,
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,history,1,"NEW YORK TIMES BESTSELLER Yuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity’s future, and our quest to upgrade humans into gods.Over the past century humankind has managed to do the impossible and rein in famine, plague, and war..."
Hopeless,Colleen Hoover,"fiction, romance, contemporary",1,
Hot Mess (Diary of a Wimpy Kid Book 19): Volume 19,Jeff Kinney,"diary fiction, family",1,"Get ready for the most hilarious Wimpy Kid book yet! International bestselling author Jeff Kinney serves up heaps of laughs in Hot Mess, the 19th book in the Diary of a Wimpy Kid series. Greg Heffley is caught in the middle as the two halves of his extended family come together in a sidesplittingly relatable summer story! Collect all the books in the #1 bestselling Diary of a Wimpy Kid series:..."
Hound of the Baskervilles: A Sherlock Holmes Adventure (Collins Classics),Sir Arthur Conan Doyle,"fiction, thriller",1,"HarperCollins is proud to present its new range of best-loved, essential classics. 'They all agreed that it was a huge creature, luminous, ghastly and spectral.' Originally serialised in The Strand Magazine, Conan Doyle's The Hound of the Baskervilles follows the infamous Sherlock Holmes and Dr Watson as they investigate the mysterious death of Sir Charles Baskerville, whose dead..."
How To,Randall Munroe,personal growth,1,"""How To will make you laugh as you learn…With How To, you can’t help but appreciate the glorious complexity of our universe and the amazing breadth of humanity’s effort to comprehend it. If you want some lightweight edification, you won’t go wrong with How To.”

How To: Absurd Scientific Advice for Common Real-World Problems is a book by Randall Munroe in which the author provides absurd..."
How to Communicate with Confidence,Mike Bechtle,self-help,1,Anyone-whether shy or outgoing-can improve his or her conversational skills. This straightforward guide to making good conversation works for any personality type.
How to Win Friends and Influence People,Dale Carnegie,"self-help, business",1,"Millions of people around the world have - and continue to - improve their lives based on the teachings of Dale Carnegie. In ""How to Win Friends and Influence People"", Carnegie offers practical advice and techniques, in his exuberant and conversational style, for how to get out of a mental rut and make life more rewarding. His advice has stood the test of time and will teach you how to:..."
I Am Amazing!,"Alissa Holder, Zulekha Holder-Young, Nneka Myers (Illustrator)","fiction, social-themes",1,"From the authors and illustrator of I Am Smart, I Am Blessed, I Can Do Anything! comes another story about the always-inspiring Ayaan! Amazing Ayaan loves being a superhero--he helps a friend who has fallen on the playground, gives pushes on the swings, and offers a boost to those who need it at the rock wall. But his fun is ruined when two of his friends tell him he doesn't seem like a superhero..."
I Decided to Live as Me - English Translation,Kim Soo-Hyun,self-help,4,"WE WILL BE RESTOCKING SOON!!! Sorry for the inconvenience :( The English version of the book that BTS member Jungkook was reading in Bon Voyage season 3! Published in South Korea by Woods of Mind Books and English Translated by Apop Books Published: 2016 (original), 2020 (english version) More than 1 million titles sold worldwide - Read, chosen, and loved by more than a million readers worldwide..."
I Know Why the Caged Bird Sings,Maya Angelou,biography,1,"Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age–and has to live with the consequences for a lifetime. Years later, in San..."
I See You Like I See a Flower - English Translation,Na Tae Joo,poetry,2,"- In 2012, Lee Jong-suk read the poem “Grass Flower” in the drama “School 2013.” - Jisoo of BLACKPINK was seen holding this book when she went to the airport. - An article published also said that RM of BTS also liked this book. - In 2018, this book also appeared in the popular TvN K-drama, Encounter, starring Park Bogum and Song Hye Kyo. The collection of Na Tae Joo’s most popular poems..."
I Used to Have a Plan,Alessandra Olanow,"inspiration, nonfiction, pscyhology",2,"Balm for the soul--Alessandra Olanow offers advice, inspiration, and encouragement for anyone who needs a shoulder to lean on during a difficult time. ""I Know This Too Shall Pass. (But It Would Be Helpful to Know When)."" After a series of events left her a divorced single mother questioning herself, her relationships, and basically, everything she thought was true about her ""picture-perfect"" life..."
Icarus Deception: How High Will You Fly?,Seth Godin,"self-help, business",1,"In Seth Godin’s most inspiring book, he challenges readers to find the courage to treat their work as a form of art Everyone knows that Icarus’s father made him wings and told him not to fly too close to the sun; he ignored the warning and plunged to his doom. The lesson: Play it safe. Listen to the experts. It was the perfect propaganda for the industrial economy. What boss..."
Ikigai: The Japanese Secret to a Long and Happy Life,"Héctor García, Francesc Miralles",personal growth,2,"Bring meaning and joy to all your days with this internationally bestselling guide to the Japanese concept of ikigai—the happiness of always being busy—as revealed by the daily habits of the world’s longest-living people.“If hygge is the art of doing nothing, ikigai is the art of doing something—and doing it with supreme focus and joy.” —New York Post “Only staying active ..."
I'll Get Back to You,Sam George,"communication, personal growth",1,"Digital communication disrupts our relationships with our partners, families, and friends. Uncertainty, anxiety, and misunderstandings are all caused by emails and texts. I'll Get Back to You is the first book to teach you how to stop texts and emails from interfering with your relationships and your life. The issue with emails and texts is that they do not have instant feedback, like direct..."
In Five Years,Rebecca Serle,"fiction, family, romance",1,"A NEW YORK TIMES BESTSELLER A Good Morning America, FabFitFun, and Marie Claire Book Club Pick ""In Five Years is as clever as it is moving, the rare read-in-one-sitting novel you won't forget."" --Chloe Benjamin, New York Times bestselling author of The Immortalists ​Perfect for fans of Me Before You and One Day--a striking, powerful, and moving love story following an ambitious lawyer who..."
